id,department_id/id,area_id,effective_date
res_holidays_attribution_01,l10n_fr_department.res_country_department_ain,A,1980-01-01
res_holidays_attribution_02,l10n_fr_department.res_country_department_aisne,B,1980-01-01
res_holidays_attribution_03,l10n_fr_department.res_country_department_allier,A,1980-01-01
res_holidays_attribution_04,l10n_fr_department.res_country_department_alpesdehauteprovence,B,1980-01-01
res_holidays_attribution_05,l10n_fr_department.res_country_department_hautesalpes,B,1980-01-01
res_holidays_attribution_06,l10n_fr_department.res_country_department_alpesmaritimes,B,1980-01-01
res_holidays_attribution_07,l10n_fr_department.res_country_department_ardeche,A,1980-01-01
res_holidays_attribution_08,l10n_fr_department.res_country_department_ardennes,B,1980-01-01
res_holidays_attribution_09,l10n_fr_department.res_country_department_ariege,A,1980-01-01
res_holidays_attribution_09_bis,l10n_fr_department.res_country_department_ariege,C,2016-01-01
res_holidays_attribution_10,l10n_fr_department.res_country_department_aube,B,1980-01-01
res_holidays_attribution_11,l10n_fr_department.res_country_department_aude,A,1980-01-01
res_holidays_attribution_11_bis,l10n_fr_department.res_country_department_aude,C,2016-01-01
res_holidays_attribution_12,l10n_fr_department.res_country_department_aveyron,A,1980-01-01
res_holidays_attribution_12_bis,l10n_fr_department.res_country_department_aveyron,C,2016-01-01
res_holidays_attribution_13,l10n_fr_department.res_country_department_bouchesdurhone,B,1980-01-01
res_holidays_attribution_14,l10n_fr_department.res_country_department_calvados,A,1980-01-01
res_holidays_attribution_14_bis,l10n_fr_department.res_country_department_calvados,B,2016-01-01
res_holidays_attribution_15,l10n_fr_department.res_country_department_cantal,A,1980-01-01
res_holidays_attribution_16,l10n_fr_department.res_country_department_charente,B,1980-01-01
res_holidays_attribution_16_bis,l10n_fr_department.res_country_department_charente,A,2016-01-01
res_holidays_attribution_17,l10n_fr_department.res_country_department_charentemaritime,B,1980-01-01
res_holidays_attribution_17_bis,l10n_fr_department.res_country_department_charentemaritime,A,2016-01-01
res_holidays_attribution_18,l10n_fr_department.res_country_department_cher,B,1980-01-01
res_holidays_attribution_19,l10n_fr_department.res_country_department_correze,B,1980-01-01
res_holidays_attribution_19_bis,l10n_fr_department.res_country_department_correze,A,2016-01-01
res_holidays_attribution_2a,l10n_fr_department.res_country_department_corsedusud,Corse,1980-01-01
res_holidays_attribution_2b,l10n_fr_department.res_country_department_hautecorse,Corse,1980-01-01
res_holidays_attribution_21,l10n_fr_department.res_country_department_cotedor,B,1980-01-01
res_holidays_attribution_21_bis,l10n_fr_department.res_country_department_cotedor,A,2016-01-01
res_holidays_attribution_22,l10n_fr_department.res_country_department_cotesdarmor,A,1980-01-01
res_holidays_attribution_22_bis,l10n_fr_department.res_country_department_cotesdarmor,B,2016-01-01
res_holidays_attribution_23,l10n_fr_department.res_country_department_creuse,B,1980-01-01
res_holidays_attribution_23_bis,l10n_fr_department.res_country_department_creuse,A,2016-01-01
res_holidays_attribution_24,l10n_fr_department.res_country_department_dordogne,C,1980-01-01
res_holidays_attribution_24_bis,l10n_fr_department.res_country_department_dordogne,A,2016-01-01
res_holidays_attribution_25,l10n_fr_department.res_country_department_doubs,B,1980-01-01
res_holidays_attribution_25_bis,l10n_fr_department.res_country_department_doubs,A,2016-01-01
res_holidays_attribution_26,l10n_fr_department.res_country_department_drome,A,1980-01-01
res_holidays_attribution_27,l10n_fr_department.res_country_department_eure,B,1980-01-01
res_holidays_attribution_28,l10n_fr_department.res_country_department_eureetloir,B,1980-01-01
res_holidays_attribution_29,l10n_fr_department.res_country_department_finistere,A,1980-01-01
res_holidays_attribution_29_bis,l10n_fr_department.res_country_department_finistere,B,2016-01-01
res_holidays_attribution_30,l10n_fr_department.res_country_department_gard,A,1980-01-01
res_holidays_attribution_30_bis,l10n_fr_department.res_country_department_gard,C,2016-01-01
res_holidays_attribution_31,l10n_fr_department.res_country_department_hautegaronne,A,1980-01-01
res_holidays_attribution_31_bis,l10n_fr_department.res_country_department_hautegaronne,C,2016-01-01
res_holidays_attribution_32,l10n_fr_department.res_country_department_gers,A,1980-01-01
res_holidays_attribution_32_bis,l10n_fr_department.res_country_department_gers,C,2016-01-01
res_holidays_attribution_33,l10n_fr_department.res_country_department_gironde,C,1980-01-01
res_holidays_attribution_33_bis,l10n_fr_department.res_country_department_gironde,A,2016-01-01
res_holidays_attribution_34,l10n_fr_department.res_country_department_herault,A,1980-01-01
res_holidays_attribution_34_bis,l10n_fr_department.res_country_department_herault,C,2016-01-01
res_holidays_attribution_35,l10n_fr_department.res_country_department_illeetvilaine,A,1980-01-01
res_holidays_attribution_35_bis,l10n_fr_department.res_country_department_illeetvilaine,B,2016-01-01
res_holidays_attribution_36,l10n_fr_department.res_country_department_indre,B,1980-01-01
res_holidays_attribution_37,l10n_fr_department.res_country_department_indreetloire,B,1980-01-01
res_holidays_attribution_38,l10n_fr_department.res_country_department_isere,A,1980-01-01
res_holidays_attribution_39,l10n_fr_department.res_country_department_jura,B,1980-01-01
res_holidays_attribution_39_bis,l10n_fr_department.res_country_department_jura,A,2016-01-01
res_holidays_attribution_40,l10n_fr_department.res_country_department_landes,C,1980-01-01
res_holidays_attribution_40_bis,l10n_fr_department.res_country_department_landes,A,2016-01-01
res_holidays_attribution_41,l10n_fr_department.res_country_department_loiretcher,B,1980-01-01
res_holidays_attribution_42,l10n_fr_department.res_country_department_loire,A,1980-01-01
res_holidays_attribution_43,l10n_fr_department.res_country_department_hauteloire,A,1980-01-01
res_holidays_attribution_44,l10n_fr_department.res_country_department_loireatlantique,A,1980-01-01
res_holidays_attribution_44_bis,l10n_fr_department.res_country_department_loireatlantique,B,2016-01-01
res_holidays_attribution_45,l10n_fr_department.res_country_department_loiret,B,1980-01-01
res_holidays_attribution_46,l10n_fr_department.res_country_department_lot,A,1980-01-01
res_holidays_attribution_46_bis,l10n_fr_department.res_country_department_lot,C,2016-01-01
res_holidays_attribution_47,l10n_fr_department.res_country_department_lotetgaronne,C,1980-01-01
res_holidays_attribution_47_bis,l10n_fr_department.res_country_department_lotetgaronne,A,2016-01-01
res_holidays_attribution_48,l10n_fr_department.res_country_department_lozere,A,1980-01-01
res_holidays_attribution_48_bis,l10n_fr_department.res_country_department_lozere,C,2016-01-01
res_holidays_attribution_49,l10n_fr_department.res_country_department_maineetloire,A,1980-01-01
res_holidays_attribution_49_bis,l10n_fr_department.res_country_department_maineetloire,B,2016-01-01
res_holidays_attribution_50,l10n_fr_department.res_country_department_manche,A,1980-01-01
res_holidays_attribution_50_bis,l10n_fr_department.res_country_department_manche,B,2016-01-01
res_holidays_attribution_51,l10n_fr_department.res_country_department_marne,B,1980-01-01
res_holidays_attribution_52,l10n_fr_department.res_country_department_hautemarne,B,1980-01-01
res_holidays_attribution_53,l10n_fr_department.res_country_department_mayenne,A,1980-01-01
res_holidays_attribution_53_bis,l10n_fr_department.res_country_department_mayenne,B,2016-01-01
res_holidays_attribution_54,l10n_fr_department.res_country_department_meurtheetmoselle,A,1980-01-01
res_holidays_attribution_54_bis,l10n_fr_department.res_country_department_meurtheetmoselle,B,2016-01-01
res_holidays_attribution_55,l10n_fr_department.res_country_department_meuse,A,1980-01-01
res_holidays_attribution_55_bis,l10n_fr_department.res_country_department_meuse,B,2016-01-01
res_holidays_attribution_56,l10n_fr_department.res_country_department_morbihan,A,1980-01-01
res_holidays_attribution_57,l10n_fr_department.res_country_department_moselle,A,1980-01-01
res_holidays_attribution_57_bis,l10n_fr_department.res_country_department_moselle,B,2016-01-01
res_holidays_attribution_58,l10n_fr_department.res_country_department_nievre,B,1980-01-01
res_holidays_attribution_59,l10n_fr_department.res_country_department_nord,B,1980-01-01
res_holidays_attribution_60,l10n_fr_department.res_country_department_oise,B,1980-01-01
res_holidays_attribution_61,l10n_fr_department.res_country_department_orne,A,1980-01-01
res_holidays_attribution_61_bis,l10n_fr_department.res_country_department_orne,B,2016-01-01
res_holidays_attribution_62,l10n_fr_department.res_country_department_pasdecalais,B,1980-01-01
res_holidays_attribution_63,l10n_fr_department.res_country_department_puydedome,A,1980-01-01
res_holidays_attribution_64,l10n_fr_department.res_country_department_pyreneesatlantiques,C,1980-01-01
res_holidays_attribution_64_bis,l10n_fr_department.res_country_department_pyreneesatlantiques,A,2016-01-01
res_holidays_attribution_65,l10n_fr_department.res_country_department_hautespyrenees,A,1980-01-01
res_holidays_attribution_65_bis,l10n_fr_department.res_country_department_hautespyrenees,C,2016-01-01
res_holidays_attribution_66,l10n_fr_department.res_country_department_pyreneesorientales,A,1980-01-01
res_holidays_attribution_66_bis,l10n_fr_department.res_country_department_pyreneesorientales,C,2016-01-01
res_holidays_attribution_67,l10n_fr_department.res_country_department_basrhin,B,1980-01-01
res_holidays_attribution_68,l10n_fr_department.res_country_department_hautrhin,B,1980-01-01
res_holidays_attribution_69,l10n_fr_department.res_country_department_rhone,A,1980-01-01
res_holidays_attribution_70,l10n_fr_department.res_country_department_hautesaone,B,1980-01-01
res_holidays_attribution_70_bis,l10n_fr_department.res_country_department_hautesaone,A,2016-01-01
res_holidays_attribution_71,l10n_fr_department.res_country_department_saoneetloire,B,1980-01-01
res_holidays_attribution_71_bis,l10n_fr_department.res_country_department_saoneetloire,A,2016-01-01
res_holidays_attribution_72,l10n_fr_department.res_country_department_sarthe,A,1980-01-01
res_holidays_attribution_72_bis,l10n_fr_department.res_country_department_sarthe,B,2016-01-01
res_holidays_attribution_73,l10n_fr_department.res_country_department_savoie,A,1980-01-01
res_holidays_attribution_74,l10n_fr_department.res_country_department_hautesavoie,A,1980-01-01
res_holidays_attribution_75,l10n_fr_department.res_country_department_paris,C,1980-01-01
res_holidays_attribution_76,l10n_fr_department.res_country_department_seinemaritime,B,1980-01-01
res_holidays_attribution_77,l10n_fr_department.res_country_department_seineetmarne,C,1980-01-01
res_holidays_attribution_78,l10n_fr_department.res_country_department_yvelines,C,1980-01-01
res_holidays_attribution_79,l10n_fr_department.res_country_department_deuxsevres,B,1980-01-01
res_holidays_attribution_79_bis,l10n_fr_department.res_country_department_deuxsevres,A,2016-01-01
res_holidays_attribution_80,l10n_fr_department.res_country_department_somme,B,1980-01-01
res_holidays_attribution_81,l10n_fr_department.res_country_department_tarn,A,1980-01-01
res_holidays_attribution_81_bis,l10n_fr_department.res_country_department_tarn,C,2016-01-01
res_holidays_attribution_82,l10n_fr_department.res_country_department_tarnetgaronne,A,1980-01-01
res_holidays_attribution_82_bis,l10n_fr_department.res_country_department_tarnetgaronne,C,2016-01-01
res_holidays_attribution_83,l10n_fr_department.res_country_department_var,B,1980-01-01
res_holidays_attribution_84,l10n_fr_department.res_country_department_vaucluse,B,1980-01-01
res_holidays_attribution_85,l10n_fr_department.res_country_department_vendee,A,1980-01-01
res_holidays_attribution_85_bis,l10n_fr_department.res_country_department_vendee,B,2016-01-01
res_holidays_attribution_86,l10n_fr_department.res_country_department_vienne,B,1980-01-01
res_holidays_attribution_86_bis,l10n_fr_department.res_country_department_vienne,A,2016-01-01
res_holidays_attribution_87,l10n_fr_department.res_country_department_hautevienne,B,1980-01-01
res_holidays_attribution_87_bis,l10n_fr_department.res_country_department_hautevienne,A,2016-01-01
res_holidays_attribution_88,l10n_fr_department.res_country_department_vosges,A,1980-01-01
res_holidays_attribution_88_bis,l10n_fr_department.res_country_department_vosges,B,2016-01-01
res_holidays_attribution_89,l10n_fr_department.res_country_department_yonne,B,1980-01-01
res_holidays_attribution_89_bis,l10n_fr_department.res_country_department_yonne,A,2016-01-01
res_holidays_attribution_90,l10n_fr_department.res_country_department_territoiredebelfort,B,1980-01-01
res_holidays_attribution_90_bis,l10n_fr_department.res_country_department_territoiredebelfort,A,2016-01-01
res_holidays_attribution_91,l10n_fr_department.res_country_department_essonne,C,1980-01-01
res_holidays_attribution_92,l10n_fr_department.res_country_department_hautsdeseine,C,1980-01-01
res_holidays_attribution_93,l10n_fr_department.res_country_department_seinesaintdenis,C,1980-01-01
res_holidays_attribution_94,l10n_fr_department.res_country_department_valdemarne,C,1980-01-01
res_holidays_attribution_95,l10n_fr_department.res_country_department_valdoise,C,1980-01-01
